Pincode,active,
131027,0,"131027,"
131028,0,"131028,"
131029,0,"131029,"
131030,0,"131030,"
131039,0,"131039,"
131101,0,"131101,"
131102,0,"131102,"
131103,0,"131103,"
131301,0,"131301,"
131302,0,"131302,"
131304,0,"131304,"
131305,0,"131305,"
131306,0,"131306,"
131402,0,"131402,"
131403,0,"131403,"
131408,0,"131408,"
131409,0,"131409,"
132001,0,"132001,"
132022,0,"132022,"
132023,0,"132023,"
132024,0,"132024,"
132036,0,"132036,"
132037,0,"132037,"
132039,0,"132039,"
132040,0,"132040,"
132041,0,"132041,"
132046,0,"132046,"
132054,0,"132054,"
132101,0,"132101,"
132102,0,"132102,"
132103,0,"132103,"
132104,0,"132104,"
132105,0,"132105,"
132106,0,"132106,"
132107,0,"132107,"
132108,0,"132108,"
132113,0,"132113,"
132114,0,"132114,"
132115,0,"132115,"
132116,0,"132116,"
132117,0,"132117,"
132122,0,"132122,"
132140,0,"132140,"
132145,0,"132145,"
132157,0,"132157,"
133001,0,"133001,"
133004,0,"133004,"
133005,0,"133005,"
133006,0,"133006,"
133008,0,"133008,"
133010,0,"133010,"
133101,0,"133101,"
133102,0,"133102,"
133103,0,"133103,"
133104,0,"133104,"
133201,0,"133201,"
133202,0,"133202,"
133203,0,"133203,"
133204,0,"133204,"
133205,0,"133205,"
133206,0,"133206,"
133207,0,"133207,"
133301,0,"133301,"
133302,0,"133302,"
134003,0,"134003,"
134005,0,"134005,"
134007,0,"134007,"
134008,0,"134008,"
134101,0,"134101,"
134102,0,"134102,"
134103,0,"134103,"
134104,0,"134104,"
134105,0,"134105,"
134107,0,"134107,"
134108,0,"134108,"
134109,0,"134109,"
134112,0,"134112,"
134113,0,"134113,"
134114,0,"134114,"
134116,0,"134116,"
134117,0,"134117,"
134118,0,"134118,"
134201,0,"134201,"
134202,0,"134202,"
134203,0,"134203,"
134204,0,"134204,"
134205,0,"134205,"
135001,0,"135001,"
135002,0,"135002,"
135003,0,"135003,"
135004,0,"135004,"
135021,0,"135021,"
135101,0,"135101,"
135102,0,"135102,"
135103,0,"135103,"
135106,0,"135106,"
135133,0,"135133,"
136020,0,"136020,"
136021,0,"136021,"
136026,0,"136026,"
136027,0,"136027,"
136030,0,"136030,"
136033,0,"136033,"
136034,0,"136034,"
136035,0,"136035,"
136038,0,"136038,"
136042,0,"136042,"
136043,0,"136043,"
136044,0,"136044,"
136117,0,"136117,"
136118,0,"136118,"
136119,0,"136119,"
136128,0,"136128,"
136129,0,"136129,"
136130,0,"136130,"
136131,0,"136131,"
136132,0,"136132,"
136134,0,"136134,"
136135,0,"136135,"
136136,0,"136136,"
136156,0,"136156,"
140001,0,"140001,"
140101,0,"140101,"
140102,0,"140102,"
140103,0,"140103,"
140108,0,"140108,"
140109,0,"140109,"
140110,0,"140110,"
140111,0,"140111,"
140112,0,"140112,"
140113,0,"140113,"
140114,0,"140114,"
140115,0,"140115,"
140116,0,"140116,"
140117,0,"140117,"
140118,0,"140118,"
140119,0,"140119,"
140123,0,"140123,"
140124,0,"140124,"
140125,0,"140125,"
140126,0,"140126,"
140127,0,"140127,"
140128,0,"140128,"
140133,0,"140133,"
140201,0,"140201,"
140301,0,"140301,"
140306,0,"140306,"
140307,0,"140307,"
140308,0,"140308,"
140401,0,"140401,"
140402,0,"140402,"
140405,0,"140405,"
140406,0,"140406,"
140407,0,"140407,"
140408,0,"140408,"
140412,0,"140412,"
140413,0,"140413,"
140417,0,"140417,"
140501,0,"140501,"
140506,0,"140506,"
140507,0,"140507,"
140601,0,"140601,"
140602,0,"140602,"
140603,0,"140603,"
140604,0,"140604,"
140701,0,"140701,"
140702,0,"140702,"
140802,0,"140802,"
140901,0,"140901,"
141001,0,"141001,"
141002,0,"141002,"
141003,0,"141003,"
141004,0,"141004,"
141006,0,"141006,"
141007,0,"141007,"
141008,0,"141008,"
141010,0,"141010,"
141012,0,"141012,"
141013,0,"141013,"
141014,0,"141014,"
141015,0,"141015,"
141016,0,"141016,"
141017,0,"141017,"
141101,0,"141101,"
141102,0,"141102,"
141103,0,"141103,"
141104,0,"141104,"
141105,0,"141105,"
141106,0,"141106,"
141107,0,"141107,"
